cluster_id,name,cg_name,ra_deg,dec_deg,radius_deg,dist_pc,age_gyr,n_members
ngc_1750,NGC 1750,NGC_1750,75.926,23.695,1.047,727.0,0.257,417
ngc_2422,NGC 2422,NGC_2422,114.147,-14.489,0.647,504.0,0.1096,416
ngc_1817,NGC 1817,NGC_1817,78.139,16.696,0.468,1799.0,1.122,413
ngc_2281,NGC 2281,NGC_2281,102.091,41.06,1.042,544.0,0.6166,410
ngc_2421,NGC 2421,NGC_2421,114.051,-20.627,0.25,2683.0,0.0661,406
ngc_2423,NGC 2423,NGC_2423,114.299,-13.863,0.67,943.0,1.0965,406
collinder_463,Cl Collinder 463,Collinder_463,27.031,71.738,1.52,849.0,0.1148,404
ic_2488,IC 2488,IC_2488,141.857,-57.004,0.55,1323.0,0.1622,404
ic_1396,IC 1396,IC_1396,324.745,57.514,0.742,905.0,0.012,403
ngc_6603,NGC 6603,NGC_6603,274.616,-18.409,0.25,2727.0,0.2188,403
ngc_2301,NGC 2301,NGC_2301,102.943,0.465,0.405,857.0,0.2138,402
ngc_2660,NGC 2660,NGC_2660,130.667,-47.201,0.25,2788.0,0.9333,402
ngc_2420,NGC 2420,NGC_2420,114.602,21.575,0.25,2587.0,1.7378,393
ngc_2236,NGC 2236,NGC_2236,97.416,6.834,0.25,2429.0,1.1482,385
lynga_9,Cl Lynga 9,Lynga_9,245.17,-48.523,0.25,2525.0,0.631,382
blanco_1,Cl Blanco 1,Blanco_1,0.853,-29.958,1.747,240.0,0.1047,380
ngc_1027,NGC 1027,NGC_1027,40.677,61.616,0.55,1125.0,0.195,377
ngc_3496,NGC 3496,NGC_3496,164.877,-60.335,0.25,2310.0,0.5012,377
ngc_5925,NGC 5925,NGC_5925,231.847,-54.515,0.475,1404.0,0.4898,377
ngc_5381,NGC 5381,NGC_5381,210.205,-59.578,0.33,2349.0,0.3548,376
ngc_7142,NGC 7142,NGC_7142,326.29,65.782,0.255,2406.0,3.0903,375
ruprecht_112,Cl Ruprecht 112,Ruprecht_112,224.256,-62.56,0.283,2733.0,0.537,374
bh_99,Cl VDBH 99,BH_99,159.553,-59.168,1.343,467.0,0.0955,371
trumpler_23,Cl Trumpler 23,Trumpler_23,240.218,-53.539,0.25,2590.0,0.7079,368
ngc_129,NGC 129,NGC_129,7.607,60.213,0.423,1906.0,0.1288,365
ngc_5316,NGC 5316,NGC_5316,208.516,-61.883,0.425,1450.0,0.166,365
berkeley_32,Cl Berkeley 32,Berkeley_32,104.53,6.433,0.25,3072.0,4.8978,361
ngc_2658,NGC 2658,NGC_2658,130.868,-32.662,0.25,4055.0,0.5012,358
king_7,Cl King 7,King_7,59.783,51.785,0.25,3171.0,0.2239,354
ngc_1912,NGC 1912,NGC_1912,82.167,35.824,0.408,1104.0,0.2951,349
ngc_6611,NGC 6611,NGC_6611,274.688,-13.792,0.25,500.0,0.1,348
harvard_16,Cl Harvard 16,Harvard_16,262.781,-36.813,0.33,1591.0,0.0724,347
gulliver_29,Cl Gulliver 29,Gulliver_29,256.745,-35.205,1.698,1180.0,0.0107,342
lp_5,[LP2019] 5,LP_5,156.138,-72.51,1.567,1840.0,2.6915,342
pozzo_1,NAME Pozzo 1,Pozzo_1,122.374,-47.335,1.562,330.0,0.0095,341
ngc_2527,NGC 2527,NGC_2527,121.246,-28.122,1.02,664.0,0.6918,340
ngc_1513,NGC 1513,NGC_1513,62.47,49.504,0.265,1546.0,0.2884,332
ngc_2451a,NGC 2451A,NGC_2451A,115.736,-38.264,2.0,195.0,0.0355,331
ngc_3293,NGC 3293,NGC_3293,158.97,-58.231,0.25,2710.0,0.0102,330
ruprecht_121,Cl Ruprecht 121,Ruprecht_121,250.436,-46.159,0.253,1974.0,0.1778,330
ngc_654,NGC 654,NGC_654,26.008,61.883,0.25,3125.0,0.0098,329
ngc_6802,NGC 6802,NGC_6802,292.651,20.262,0.25,2753.0,0.6607,329
ruprecht_68,Cl Ruprecht 68,Ruprecht_68,131.147,-35.9,0.25,3040.0,1.8197,329
ngc_1342,NGC 1342,NGC_1342,52.894,37.38,0.722,686.0,0.8128,327
collinder_135,Cl Collinder 135,Collinder_135,109.362,-37.044,2.0,292.0,0.0263,324
ngc_6253,NGC 6253,NGC_6253,254.778,-52.712,0.25,1653.0,3.2359,324
ngc_884,NGC 884,NGC_884,35.584,57.149,0.312,2130.0,0.0178,322
alessi_teutsch_8,NAME Alessi Teutsch 8,Alessi_Teutsch_8,180.649,-60.935,0.745,989.0,0.1175,319
gulliver_6,Cl Gulliver 6,Gulliver_6,83.278,-1.652,1.292,403.0,0.0166,318
ngc_7419,NGC 7419,NGC_7419,343.579,60.814,0.25,500.0,0.1,317
skiff_j0058+68.4,NAME Skiff J0058+68.4,Skiff_J0058+68.4,14.604,68.458,0.43,2476.0,1.4125,316
ngc_6208,NGC 6208,NGC_6208,252.336,-53.714,0.405,1215.0,1.4125,314
ubc_344,UBC 344,UBC_344,274.475,-12.083,0.403,1919.0,0.0035,314
ngc_2627,NGC 2627,NGC_2627,129.309,-29.952,0.25,1837.0,1.8621,313
ngc_4103,NGC 4103,NGC_4103,181.628,-61.245,0.288,2060.0,0.0209,313
ngc_6645,NGC 6645,NGC_6645,278.158,-16.918,0.302,1810.0,0.5129,312
ic_2602,IC 2602,IC_2602,160.613,-64.426,2.0,149.0,0.0363,311
berkeley_85,Cl Berkeley 85,Berkeley_85,304.692,37.744,0.25,3526.0,0.4169,310
westerlund_1,Cl Westerlund 1,Westerlund_1,251.76,-45.852,0.25,500.0,0.1,308
alessi_12,Cl Alessi 12,Alessi_12,310.875,23.871,1.705,544.0,0.1349,307
melotte_111,Cl Melotte 111,Melotte_111,186.014,25.652,2.0,85.0,0.6457,306
ngc_1528,NGC 1528,NGC_1528,63.878,51.218,0.587,1067.0,0.2951,306
ngc_1664,NGC 1664,NGC_1664,72.763,43.676,0.283,1341.0,0.5129,299
alessi_5,Cl Alessi 5,Alessi_5,160.819,-61.081,1.355,424.0,0.0676,297
ngc_7510,NGC 7510,NGC_7510,347.767,60.579,0.25,2931.0,0.0195,297
ngc_6811,NGC 6811,NGC_6811,294.34,46.378,0.475,1161.0,1.0715,296
ic_2395,IC 2395,IC_2395,130.531,-48.09,0.522,702.0,0.0204,291
ngc_7243,NGC 7243,NGC_7243,333.788,49.83,0.637,878.0,0.1479,291
ngc_6005,NGC 6005,NGC_6005,238.955,-57.439,0.25,2383.0,1.2589,289
ngc_4609,NGC 4609,NGC_4609,190.582,-62.995,0.343,1419.0,0.0813,286
ngc_6025,NGC 6025,NGC_6025,240.779,-60.43,0.73,750.0,0.1047,286
alessi_43,Cl Alessi 43,Alessi_43,132.631,-41.738,0.725,917.0,0.0115,284
ngc_2451b,NGC 2451B,NGC_2451B,116.128,-37.954,1.562,361.0,0.0407,283
ngc_7082,NGC 7082,NGC_7082,322.186,47.103,0.488,1339.0,0.0617,282
ngc_1960,NGC 1960,NGC_1960,84.084,34.135,0.25,1162.0,0.0282,280
ic_1848,IC 1848,IC_1848,42.855,60.419,0.5,2398.0,0.0158,279
fsr_0133,[FSR2007] 0133,FSR_0133,292.448,15.561,0.25,500.0,0.1,275
ngc_1907,NGC 1907,NGC_1907,82.033,35.33,0.25,1618.0,0.5888,275
stock_8,Cl Stock 8,Stock_8,81.956,34.452,0.383,2354.0,0.0145,275
ngc_7209,NGC 7209,NGC_7209,331.224,46.508,0.76,1154.0,0.4266,274
ngc_3603,NGC 3603,NGC_3603,168.795,-61.259,0.25,500.0,0.1,272
ubc_246,UBC 246,UBC_246,130.734,-44.932,0.25,2120.0,0.3162,271
collinder_359,Cl Collinder 359,Collinder_359,270.598,3.26,2.0,546.0,0.0372,269
trumpler_14,Cl Trumpler 14,Trumpler_14,160.986,-59.553,0.25,2290.0,0.0631,267
ubc_323,UBC 323,UBC_323,253.94,-40.729,0.552,1496.0,0.0089,267
ngc_2354,NGC 2354,NGC_2354,108.503,-25.724,0.38,1370.0,1.4125,265
ngc_2355,NGC 2355,NGC_2355,109.247,13.772,0.25,1941.0,1.0,261
king_11,Cl King 11,King_11,356.912,68.636,0.25,3097.0,4.4668,260
ruprecht_101,Cl Ruprecht 101,Ruprecht_101,182.398,-62.995,0.25,2809.0,1.0471,257
collinder_272,Cl Collinder 272,Collinder_272,202.586,-61.319,0.318,2236.0,0.0457,255
berkeley_17,Cl Berkeley 17,Berkeley_17,80.13,30.574,0.25,3341.0,7.2444,254
berkeley_18,Cl Berkeley 18,Berkeley_18,80.531,45.442,0.293,5632.0,4.3652,253
gulliver_9,Cl Gulliver 9,Gulliver_9,126.998,-47.929,2.0,559.0,0.0178,252
ngc_2818,NAME NGC 2818 Open Cluster,NGC_2818,139.044,-36.624,0.25,3085.0,0.8318,252
ngc_6416,NGC 6416,NGC_6416,266.014,-32.344,0.603,1020.0,0.2291,251
berkeley_8,Cl Berkeley 8,Berkeley_8,30.306,75.489,0.25,3339.0,3.6308,250
ngc_2489,NGC 2489,NGC_2489,119.064,-30.06,0.25,2276.0,0.2455,250
ngc_6709,NGC 6709,NGC_6709,282.836,10.334,0.35,1041.0,0.1905,247
roslund_6,Cl Roslund 6,Roslund_6,307.185,39.798,2.0,375.0,0.0891,247
ascc_11,[KPR2005] 11,ASCC_11,53.056,44.856,0.78,867.0,0.2455,245
ngc_6383,NGC 6383,NGC_6383,263.673,-32.573,0.25,1117.0,0.004,245
king_13,Cl King 13,King_13,2.553,61.175,0.25,3525.0,0.5012,244
ngc_2425,NGC 2425,NGC_2425,114.577,-14.885,0.25,3576.0,2.3988,244
ngc_3960,NGC 3960,NGC_3960,177.644,-55.679,0.25,2345.0,0.871,243
ngc_6991,NGC 6991,NGC_6991,313.621,47.4,1.388,577.0,1.5488,243
ngc_2324,NGC 2324,NGC_2324,106.033,1.046,0.25,4214.0,0.537,242
ngc_2383,NGC 2383,NGC_2383,111.174,-20.949,0.25,3456.0,0.257,242
ngc_5662,NGC 5662,NGC_5662,218.734,-56.64,0.825,761.0,0.1995,238
pismis_18,Cl Pismis 18,Pismis_18,204.227,-62.091,0.25,2860.0,0.5754,236
ubc_318,UBC 318,UBC_318,251.144,-47.577,0.562,2795.0,0.0112,236
berkeley_59,Cl Berkeley 59,Berkeley_59,0.57,67.441,0.343,500.0,0.1,235
upk_612,UPK 612,UPK_612,253.423,-67.788,2.0,242.0,0.1,235
king_5,Cl King 5,King_5,48.682,52.695,0.25,2581.0,1.0233,234
ic_1434,IC 1434,IC_1434,332.625,52.858,0.25,3481.0,0.2754,231
ngc_1662,NGC 1662,NGC_1662,72.198,10.882,1.505,428.0,0.7762,231
lp_1800,[LP2019] 1800,LP_1800,337.843,58.053,0.525,1392.0,0.3311,230
ngc_7245,NGC 7245,NGC_7245,333.812,54.336,0.25,3210.0,0.6026,230
collinder_197,Cl Collinder 197,Collinder_197,131.202,-41.28,0.375,955.0,0.0141,229
ubc_334,UBC 334,UBC_334,265.57,-30.731,0.26,1695.0,0.02,228
ubc_609,UBC 609,UBC_609,65.262,53.069,0.838,3645.0,0.0056,228
king_6,Cl King 6,King_6,51.982,56.444,0.398,751.0,0.2042,227
ngc_2266,NGC 2266,NGC_2266,100.832,26.976,0.25,3251.0,0.8128,227
ngc_6087,NGC 6087,NGC_6087,244.721,-57.916,0.615,954.0,0.1,227
ngc_6404,NGC 6404,NGC_6404,264.916,-33.224,0.25,2500.0,0.1,227
ngc_6756,NGC 6756,NGC_6756,287.181,4.711,0.25,3166.0,0.0479,227
hogg_4,Cl Hogg 4,Hogg_4,149.424,-54.612,0.25,4025.0,1.4791,226
ngc_609,NGC 609,NGC_609,24.102,64.54,0.25,5023.0,0.2239,226
tombaugh_2,Cl Tombaugh 2,Tombaugh_2,105.773,-20.82,0.25,9316.0,1.6218,224
ngc_752,NGC 752,NGC_752,29.223,37.794,1.212,483.0,1.1749,223
ubc_174,UBC 174,UBC_174,341.388,57.382,0.273,3396.0,0.01,223
ic_2391,IC 2391,IC_2391,130.292,-52.991,2.0,148.0,0.0288,222
ngc_2509,NGC 2509,NGC_2509,120.201,-19.056,0.25,2495.0,1.5136,222
ruprecht_145,Cl Ruprecht 145,Ruprecht_145,282.636,-18.27,0.825,629.0,0.8128,219
